hazard_mode,agent,reliability,mean,ci_low,ci_high,n_seeds,n_observations
lethal,expected_sarsa,1,0.916666666667,0.646120088859,0.985134905595,12,12
lethal,q_learning,1,1,0.757505993345,1,12,12
lethal,sarsa,1,0,2.77555756156e-17,0.242494006655,12,12
recoverable,expected_sarsa,0.825,0.166666666667,0.0469651421839,0.448030862253,12,12
recoverable,q_learning,0.825,0.0833333333333,0.0148650944049,0.353879911141,12,12
recoverable,sarsa,0.825,0.166666666667,0.0469651421839,0.448030862253,12,12
