hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
lethal,sarsa,1,behavior,0.149700598802,0.669481430389,0,0.449101796407,20,20
lethal,sarsa,1,greedy,0,0,0,0,20,20
recoverable,expected_sarsa,0.6,behavior,26.1908462457,18.1133718957,18.8995599827,33.9020656957,20,20
recoverable,expected_sarsa,0.6,greedy,15.1613647337,10.3131269424,10.7218768892,19.4556420638,20,20
recoverable,expected_sarsa,0.7,behavior,22.7496096233,19.1076269833,14.7302134344,31.1237170849,20,20
recoverable,expected_sarsa,0.7,greedy,17.452371378,19.9273617354,9.42102591264,25.8931319871,20,20
recoverable,expected_sarsa,0.78,behavior,20.6578920271,13.2548483908,15.5795210829,26.4522454338,20,20
recoverable,expected_sarsa,0.78,greedy,14.6592586283,10.5403253995,10.3923702323,19.4638759023,20,20
recoverable,expected_sarsa,0.79,behavior,19.4544196833,13.4159395282,13.9449061371,25.7260347024,20,20
recoverable,expected_sarsa,0.79,greedy,14.5447975041,17.5150517701,8.58547552317,22.924736809,20,20
recoverable,expected_sarsa,0.8,behavior,16.4969443236,9.53433532451,12.7226421567,20.6282718442,20,20
recoverable,expected_sarsa,0.8,greedy,10.1247746744,8.70492296689,6.66527588809,14.1777943908,20,20
recoverable,expected_sarsa,0.805,behavior,16.1987522287,9.31411654297,12.4424062122,20.3793451321,20,20
recoverable,expected_sarsa,0.805,greedy,11.214991301,8.82350091554,7.58107410804,15.3103767429,20,20
recoverable,expected_sarsa,0.81,behavior,22.8540827009,30.8533793391,11.8810718907,37.1797803375,20,20
recoverable,expected_sarsa,0.81,greedy,20.6997613673,30.1183960828,9.66972829716,34.4106010745,20,20
recoverable,expected_sarsa,0.82,behavior,13.8388711619,10.4735319681,9.71801678642,18.475536859,20,20
recoverable,expected_sarsa,0.82,greedy,7.0936038001,5.23270807394,4.86445242067,9.33928525366,20,20
recoverable,expected_sarsa,0.825,behavior,23.3366549138,25.260446959,13.7050220823,34.4974747485,20,20
recoverable,expected_sarsa,0.825,greedy,15.7958493422,23.7440430643,6.99004824493,26.8983366526,20,20
recoverable,expected_sarsa,0.835,behavior,28.1799182936,37.6906066838,13.5993593951,46.1277066994,20,20
recoverable,expected_sarsa,0.835,greedy,17.8265215937,30.9600498119,5.9434446496,32.582737553,20,20
recoverable,expected_sarsa,0.84,behavior,42.0192157674,47.6294804256,22.6503384935,62.7111117033,20,20
recoverable,expected_sarsa,0.84,greedy,31.6801815738,41.0958879838,15.4527699286,49.3003415909,20,20
recoverable,expected_sarsa,0.845,behavior,37.7054001356,41.9094262357,20.7549696592,56.9728410803,20,20
recoverable,expected_sarsa,0.845,greedy,28.4284099487,35.5591929624,14.4875422249,44.6878908784,20,20
recoverable,expected_sarsa,0.85,behavior,47.3013197979,43.4783850156,29.0349580305,66.0210074115,20,20
recoverable,expected_sarsa,0.85,greedy,38.0216755437,41.4968302247,21.5462235042,55.1272094263,20,20
recoverable,expected_sarsa,0.855,behavior,64.9647997453,41.122218491,48.188926654,82.2334773508,20,20
recoverable,expected_sarsa,0.855,greedy,50.1825549115,37.8815010207,33.3335281192,66.4766945173,20,20
recoverable,expected_sarsa,0.86,behavior,77.3960074814,40.0039940738,60.1648513263,93.2465217012,20,20
recoverable,expected_sarsa,0.86,greedy,58.4113113781,32.1239857519,44.1214341281,71.0192958612,20,20
recoverable,expected_sarsa,0.88,behavior,84.1408692357,29.9960891821,70.7054934962,95.8271794944,20,20
recoverable,expected_sarsa,0.88,greedy,61.506991742,20.5096442742,51.9497029849,69.586059319,20,20
recoverable,expected_sarsa,0.9,behavior,83.6400897879,20.3443197689,74.8687303554,92.4472878822,20,20
recoverable,expected_sarsa,0.9,greedy,59.9959504882,12.0973779605,55.0159129396,65.1416150482,20,20
recoverable,expected_sarsa,1,behavior,31.4092878601,12.7537825886,25.7468938653,36.850522728,20,20
recoverable,expected_sarsa,1,greedy,0,0,0,0,20,20
recoverable,q_learning,0.6,behavior,18.8980764067,13.057643336,13.8942576662,24.5215186277,20,20
recoverable,q_learning,0.6,greedy,15.3782763866,12.2724281774,10.0516285471,20.4370711491,20,20
recoverable,q_learning,0.7,behavior,7.42070102222,7.65570668687,4.24560294562,10.7872083352,20,20
recoverable,q_learning,0.7,greedy,4.55024032388,6.11952705999,1.9970526818,7.26561346472,20,20
recoverable,q_learning,0.78,behavior,21.4388468795,12.5230535436,16.5250528659,26.7960994527,20,20
recoverable,q_learning,0.78,greedy,14.7016426479,11.0864742793,10.353725875,19.8582856019,20,20
recoverable,q_learning,0.79,behavior,18.3682303205,11.322257823,14.087241845,23.760465933,20,20
recoverable,q_learning,0.79,greedy,10.7376392059,8.54316134147,7.2158591939,14.6459851424,20,20
recoverable,q_learning,0.8,behavior,15.905498903,11.0750982931,11.6027807384,20.7581706178,20,20
recoverable,q_learning,0.8,greedy,9.81224028678,8.8204457379,6.2353953565,13.7067698079,20,20
recoverable,q_learning,0.805,behavior,28.2610782049,36.7376794401,14.4192732867,46.1174701567,20,20
recoverable,q_learning,0.805,greedy,24.1295675071,36.6635080387,10.5829795034,41.137953033,20,20
recoverable,q_learning,0.81,behavior,39.3125179878,44.6813474435,21.8287498147,59.8274755822,20,20
recoverable,q_learning,0.81,greedy,30.753788043,41.3396582257,14.3364238652,50.0406367688,20,20
recoverable,q_learning,0.82,behavior,59.0199552247,54.9696864606,34.7366277402,82.9728670604,20,20
recoverable,q_learning,0.82,greedy,49.4561563651,49.3763672977,28.8977622678,69.9777498752,20,20
recoverable,q_learning,0.825,behavior,61.7374782723,50.2939348929,40.2375462745,83.1051424328,20,20
recoverable,q_learning,0.825,greedy,50.7618501485,41.6941007023,32.9459751953,68.2509702316,20,20
recoverable,q_learning,0.835,behavior,88.9306441465,44.8204330566,68.3114951393,106.791094216,20,20
recoverable,q_learning,0.835,greedy,73.9356986084,35.0004587201,58.3213301092,87.2103437851,20,20
recoverable,q_learning,0.84,behavior,104.175546221,20.5507601119,95.751106118,113.16694049,20,20
recoverable,q_learning,0.84,greedy,85.7903121345,13.8443870679,80.0544671846,91.7005452656,20,20
recoverable,q_learning,0.845,behavior,106.111868064,21.9626527278,96.9174618098,116.201478648,20,20
recoverable,q_learning,0.845,greedy,86.1088482471,16.2644115901,78.791716121,92.9342164508,20,20
recoverable,q_learning,0.85,behavior,104.237874257,21.1095440964,95.145174547,113.082248991,20,20
recoverable,q_learning,0.85,greedy,83.7048876294,15.3359547223,77.4703043619,90.0271716139,20,20
recoverable,q_learning,0.855,behavior,98.2423007488,21.1600366525,89.120002451,107.357194989,20,20
recoverable,q_learning,0.855,greedy,80.0086246133,15.0064809932,73.9180787334,86.2669190643,20,20
recoverable,q_learning,0.86,behavior,97.3305805383,22.0323094337,87.8329406335,106.803477904,20,20
recoverable,q_learning,0.86,greedy,76.2465876462,13.4456249036,70.5675495361,81.9445357054,20,20
recoverable,q_learning,0.88,behavior,89.3907627977,20.9524040368,79.7445423017,98.1023171401,20,20
recoverable,q_learning,0.88,greedy,65.2706291271,11.2677971746,60.5332077536,70.1395675732,20,20
recoverable,q_learning,0.9,behavior,85.1482768693,20.0719478779,76.4661341019,93.6844086619,20,20
recoverable,q_learning,0.9,greedy,60.0925584376,12.4318842682,55.1231541329,65.4190965707,20,20
recoverable,q_learning,1,behavior,31.613379993,12.1223408585,26.641770526,36.7416961953,20,20
recoverable,q_learning,1,greedy,0,0,0,0,20,20
recoverable,sarsa,0.6,behavior,30.7473333957,19.7339541368,22.7759231797,39.5542720446,20,20
recoverable,sarsa,0.6,greedy,18.9753228971,11.2573672846,14.3084361889,23.9609713644,20,20
recoverable,sarsa,0.7,behavior,20.9421738339,19.461821404,12.9602096224,30.3096242285,20,20
recoverable,sarsa,0.7,greedy,16.0814949467,18.3762157551,8.82223332086,24.3286752287,20,20
