hazard_mode,agent,progress,reliability,mean,ci_low,ci_high,n_seeds,n_observations
recoverable,expected_sarsa,0.5,0.855,0.55,0.34208534245,0.741802141744,20,20
recoverable,expected_sarsa,0.5,0.86,0.65,0.432854276685,0.818808175899,20,20
recoverable,expected_sarsa,0.5,0.88,0.8,0.583982567748,0.91934233742,20,20
recoverable,expected_sarsa,0.5,0.9,1,0.838874841947,1,20,20
recoverable,expected_sarsa,0.5,1,1,0.838874841947,1,20,20
recoverable,expected_sarsa,0.75,0.6,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.75,0.7,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.75,0.78,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.75,0.79,0.05,0.0088814488008,0.236131193447,20,20
recoverable,expected_sarsa,0.75,0.8,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.75,0.805,0,0,0.161125158053,20,20
recoverable,expected_sarsa,0.75,0.81,0.1,0.0278664812138,0.301033645228,20,20
recoverable,expected_sarsa,0.75,0.82,0.15,0.0523687458962,0.360418864741,20,20
recoverable,expected_sarsa,0.75,0.825,0.15,0.0523687458962,0.360418864741,20,20
recoverable,expected_sarsa,0.75,0.835,0.1,0.0278664812138,0.301033645228,20,20
recoverable,expected_sarsa,0.75,0.84,0.25,0.111861701408,0.468700877619,20,20
recoverable,expected_sarsa,0.75,0.845,0.3,0.145477244868,0.518972818354,20,20
recoverable,expected_sarsa,0.75,0.85,0.45,0.258197858256,0.65791465755,20,20
recoverable,expected_sarsa,0.75,0.855,0.45,0.258197858256,0.65791465755,20,20
recoverable,expected_sarsa,0.75,0.86,0.55,0.34208534245,0.741802141744,20,20
recoverable,expected_sarsa,0.75,0.88,0.65,0.432854276685,0.818808175899,20,20
recoverable,expected_sarsa,0.75,0.9,0.95,0.763868806553,0.991118551199,20,20
recoverable,expected_sarsa,0.75,1,1,0.838874841947,1,20,20
recoverable,expected_sarsa,1,0.6,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.7,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.78,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.79,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.8,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.805,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.81,0.1,0.0278664812138,0.301033645228,20,20
recoverable,expected_sarsa,1,0.82,0,0,0.161125158053,20,20
recoverable,expected_sarsa,1,0.825,0.1,0.0278664812138,0.301033645228,20,20
recoverable,expected_sarsa,1,0.835,0.15,0.0523687458962,0.360418864741,20,20
recoverable,expected_sarsa,1,0.84,0.3,0.145477244868,0.518972818354,20,20
recoverable,expected_sarsa,1,0.845,0.3,0.145477244868,0.518972818354,20,20
recoverable,expected_sarsa,1,0.85,0.4,0.218806532373,0.613418499238,20,20
recoverable,expected_sarsa,1,0.855,0.6,0.386581500762,0.781193467627,20,20
recoverable,expected_sarsa,1,0.86,0.75,0.531299122381,0.888138298592,20,20
recoverable,expected_sarsa,1,0.88,0.9,0.698966354772,0.972133518786,20,20
recoverable,expected_sarsa,1,0.9,1,0.838874841947,1,20,20
recoverable,expected_sarsa,1,1,1,0.838874841947,1,20,20
