hazard_mode,agent,reliability,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
recoverable,expected_sarsa,0.855,0.0853551636984,0.0890078274968,0.0471707783988,0.121950704998,20,20
recoverable,expected_sarsa,0.86,0.062492138725,0.0855762875423,0.0289172335989,0.101213037789,20,20
recoverable,expected_sarsa,0.88,0.0349772180173,0.0855864722289,0.00536487978157,0.0759741551274,20,20
recoverable,expected_sarsa,0.9,0.00327301583223,0.00538148880187,0.00108824363036,0.00590514304881,20,20
recoverable,expected_sarsa,1,1.7763568394e-15,0,1.7763568394e-15,1.7763568394e-15,20,20
recoverable,q_learning,0.6,0.030947628477,0.031756154002,0.0180824779854,0.044536598155,20,20
recoverable,q_learning,0.7,0.00826286299428,0.0146527275893,0.00334393831417,0.0152270344982,20,20
recoverable,q_learning,0.78,0.0128074949421,0.0323194557273,0.00268929234631,0.0289487156088,20,20
recoverable,q_learning,0.79,0.00278212926545,0.00298621468821,0.00156809706267,0.00411515688884,20,20
recoverable,q_learning,0.8,0.00613612102317,0.0111725173744,0.00227431335319,0.0115040533487,20,20
recoverable,q_learning,0.805,0.00311906805525,0.00388983529173,0.0016242296395,0.00498741053751,20,20
recoverable,q_learning,0.81,0.0202255134126,0.0275351466005,0.0120546285921,0.033683374552,20,20
recoverable,q_learning,0.82,0.0375471815379,0.0283984154534,0.0260550164519,0.0499884044096,20,20
recoverable,q_learning,0.825,0.039589043769,0.0336660077273,0.0257467816256,0.0540930628154,20,20
recoverable,q_learning,0.835,0.0260429433134,0.0429831461076,0.00991782529054,0.0455553320518,20,20
recoverable,q_learning,0.84,0.00676453775826,0.00708217099343,0.00379723830379,0.00994431924046,20,20
recoverable,q_learning,0.845,0.00189981160878,0.00440706809262,8.69773817593e-05,0.00422994357203,20,20
recoverable,q_learning,0.85,0.00263152772808,0.00473677515954,0.000839419111308,0.00479493118651,20,20
recoverable,q_learning,0.855,0.000904951803903,0.00284660382471,0.000133044434225,0.00224919989192,20,20
recoverable,q_learning,0.86,0.00204197354173,0.00444279644786,0.000287867852159,0.00406470593293,20,20
recoverable,q_learning,0.88,0.000562438577395,0.00157164675142,0.000117684054151,0.0013048425562,20,20
recoverable,q_learning,0.9,0.000947665742713,0.00159332278205,0.000311520652289,0.0016399168334,20,20
recoverable,q_learning,1,1.7763568394e-15,0,1.7763568394e-15,1.7763568394e-15,20,20
recoverable,sarsa,0.6,0.0893755039829,0.142223509558,0.0375532603953,0.15244972568,20,20
recoverable,sarsa,0.7,0.0200326096907,0.0221377467443,0.0124020542551,0.0305489845799,20,20
recoverable,sarsa,0.78,0.00745127583875,0.0102684673152,0.00382734233679,0.0122397011479,20,20
recoverable,sarsa,0.79,0.0105720326161,0.0160379056998,0.00470357042799,0.0185649450261,20,20
recoverable,sarsa,0.8,0.0140532580057,0.0173578129807,0.00714000516019,0.0217032720015,20,20
recoverable,sarsa,0.805,0.0106424429426,0.0115420218468,0.0062462486003,0.0158838041461,20,20
recoverable,sarsa,0.81,0.0209943860945,0.005546658193,0.0188085966013,0.0234729833629,20,20
