trial_id,seed,agent,hazard_mode,reliability,global_step,choice,greedy_action,corridor_selected,unresolved,start_action_gap,target_epsilon,target_oracle_gap,absolute_gap_error,exact_deployment_regret
lethal_disagreement_p1000-sarsa-s3-dd99a867d598,3,sarsa,lethal,1,100000,shelter,2,0,False,-0.076760430135,0,0.376092816015,0.45285324615,0.737292356516
lethal_disagreement_p1000-sarsa-s4-a601339548df,4,sarsa,lethal,1,100000,shelter,2,0,False,-0.0728747586992,0,0.376092816015,0.448967574714,0.737292356516
lethal_disagreement_p1000-sarsa-s5-9d6dfb8d3f36,5,sarsa,lethal,1,100000,shelter,2,0,False,-0.0757923997121,0,0.376092816015,0.451885215727,0.737292356516
lethal_disagreement_p1000-sarsa-s6-ecfb574b8e81,6,sarsa,lethal,1,100000,shelter,2,0,False,-0.0509085615702,0,0.376092816015,0.427001377585,0.737292356516
lethal_disagreement_p1000-sarsa-s7-d52ece0e5c96,7,sarsa,lethal,1,100000,shelter,2,0,False,-0.067166980705,0,0.376092816015,0.44325979672,0.737292356516
lethal_disagreement_p1000-sarsa-s8-6cd7945b0ec9,8,sarsa,lethal,1,100000,shelter,2,0,False,-0.0777290496995,0,0.376092816015,0.453821865715,0.737292356516
lethal_disagreement_p1000-sarsa-s9-906580238f8e,9,sarsa,lethal,1,100000,shelter,2,0,False,-0.074689974542,0,0.376092816015,0.450782790557,0.737292356516
recoverable_disagreement_p0825-expected_sarsa-s0-4cba91862d52,0,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.111378630676,0,0.0624893765374,0.173868007214,0.0736905853662
recoverable_disagreement_p0825-expected_sarsa-s1-374a8b0cae1c,1,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0904398156013,0,0.0624893765374,0.152929192139,0.0750109919235
recoverable_disagreement_p0825-expected_sarsa-s10-4b71f95cc1f5,10,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.105146305731,0,0.0624893765374,0.167635682268,0.0684488360866
recoverable_disagreement_p0825-expected_sarsa-s11-96c1bff377a4,11,expected_sarsa,recoverable,0.825,100000,corridor,1,1,False,0.190529390119,0,0.0624893765374,0.128040013581,0.00657711718261
recoverable_disagreement_p0825-expected_sarsa-s2-054b1b7fea89,2,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0745741202833,0,0.0624893765374,0.137063496821,0.0794288179663
recoverable_disagreement_p0825-expected_sarsa-s3-20a8bf5b2158,3,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.10214589677,0,0.0624893765374,0.164635273307,0.0794768022532
recoverable_disagreement_p0825-expected_sarsa-s4-eeba6a7639e6,4,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0948158915053,0,0.0624893765374,0.157305268043,0.0760677008947
recoverable_disagreement_p0825-expected_sarsa-s5-832e8b040352,5,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0987504066622,0,0.0624893765374,0.1612397832,0.0684091996697
recoverable_disagreement_p0825-expected_sarsa-s6-2c8968a61431,6,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0648719952121,0,0.0624893765374,0.12736137175,0.0769767889492
recoverable_disagreement_p0825-expected_sarsa-s7-58b7982578be,7,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.081857184095,0,0.0624893765374,0.144346560632,0.117347500131
recoverable_disagreement_p0825-expected_sarsa-s8-894ce630b4cd,8,expected_sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0389120130233,0,0.0624893765374,0.101401389561,0.0802665776716
recoverable_disagreement_p0825-expected_sarsa-s9-c449add7ee7a,9,expected_sarsa,recoverable,0.825,100000,corridor,1,1,False,0.0929391633897,0,0.0624893765374,0.0304497868523,0.0384559545841
recoverable_disagreement_p0825-q_learning-s0-3e532b9ce9bb,0,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0969266164299,0,0.0624893765374,0.159415992967,0.115482160488
recoverable_disagreement_p0825-q_learning-s1-c67dacd207ce,1,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0931377309079,0,0.0624893765374,0.155627107445,0.0760677008947
recoverable_disagreement_p0825-q_learning-s10-f41c3b59b110,10,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.121139645311,0,0.0624893765374,0.183629021848,0.0831862725156
recoverable_disagreement_p0825-q_learning-s11-7b6ffbaf552c,11,q_learning,recoverable,0.825,100000,corridor,1,1,False,0.124928138298,0,0.0624893765374,0.0624387617609,0.00657711718261
recoverable_disagreement_p0825-q_learning-s2-cf0f8a27910e,2,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0623769686696,0,0.0624893765374,0.124866345207,0.0750109919235
recoverable_disagreement_p0825-q_learning-s3-a1ed0afc6ffd,3,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.122856420997,0,0.0624893765374,0.185345797534,0.0750109919235
recoverable_disagreement_p0825-q_learning-s4-54d46b9c183c,4,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0831507318749,0,0.0624893765374,0.145640108412,0.0760677782675
recoverable_disagreement_p0825-q_learning-s5-da9edf929214,5,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.114602747062,0,0.0624893765374,0.177092123599,0.0760514515517
recoverable_disagreement_p0825-q_learning-s6-62bf61d8429e,6,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0395447619225,0,0.0624893765374,0.10203413846,0.0769767889492
recoverable_disagreement_p0825-q_learning-s7-24216b199689,7,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0352818932569,0,0.0624893765374,0.0977712697943,0.0955023048053
recoverable_disagreement_p0825-q_learning-s8-14c0d59f44de,8,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.101942068196,0,0.0624893765374,0.164431444734,0.0684488360866
recoverable_disagreement_p0825-q_learning-s9-a14bf962f889,9,q_learning,recoverable,0.825,100000,shelter,2,0,False,-0.0869638395322,0,0.0624893765374,0.14945321607,0.0769767889492
recoverable_disagreement_p0825-sarsa-s0-33a4f3c36732,0,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0794517066223,0,0.0624893765374,0.14194108316,0.0720956992667
recoverable_disagreement_p0825-sarsa-s1-abc2033b41e2,1,sarsa,recoverable,0.825,100000,corridor,1,1,False,0.0414615403792,0,0.0624893765374,0.0210278361582,0
recoverable_disagreement_p0825-sarsa-s10-0fa645b78fe1,10,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0384018611591,0,0.0624893765374,0.100891237696,0.0703814408023
recoverable_disagreement_p0825-sarsa-s11-07e799f924b3,11,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0738776130108,0,0.0624893765374,0.136366989548,0.0782399141995
recoverable_disagreement_p0825-sarsa-s2-bc687dff1cb9,2,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0686183356941,0,0.0624893765374,0.131107712231,0.0750109919235
recoverable_disagreement_p0825-sarsa-s3-6b7062d72173,3,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.123349767055,0,0.0624893765374,0.185839143592,0.0760677008947
recoverable_disagreement_p0825-sarsa-s4-18e6f780e360,4,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0535843022754,0,0.0624893765374,0.116073678813,0.0726463621128
recoverable_disagreement_p0825-sarsa-s5-f617e846e37b,5,sarsa,recoverable,0.825,100000,corridor,1,1,False,0.138817706271,0,0.0624893765374,0.0763283297332,0.070752725073
recoverable_disagreement_p0825-sarsa-s6-aadd42b7a6f8,6,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.138956143538,0,0.0624893765374,0.201445520076,0.0769661821428
recoverable_disagreement_p0825-sarsa-s7-e90efbfe40c9,7,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0444649168114,0,0.0624893765374,0.106954293349,0.0899943392418
recoverable_disagreement_p0825-sarsa-s8-2c1b4947bbe8,8,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.0987663443277,0,0.0624893765374,0.161255720865,0.0774179807888
recoverable_disagreement_p0825-sarsa-s9-e37cb325a887,9,sarsa,recoverable,0.825,100000,shelter,2,0,False,-0.100971600868,0,0.0624893765374,0.163460977405,0.0760677782675
