trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s0-4379856877f5,0,expected_sarsa,recoverable,0.78,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-4ad10ee12367,0,expected_sarsa,recoverable,0.845,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-4ad10ee12367,0,expected_sarsa,recoverable,0.845,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-4ad10ee12367,0,expected_sarsa,recoverable,0.845,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-4ad10ee12367,0,expected_sarsa,recoverable,0.845,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-8429b4b363fd,0,expected_sarsa,recoverable,0.825,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-8429b4b363fd,0,expected_sarsa,recoverable,0.825,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-8429b4b363fd,0,expected_sarsa,recoverable,0.825,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-8429b4b363fd,0,expected_sarsa,recoverable,0.825,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9d471ab34df9,0,expected_sarsa,recoverable,0.79,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-9d471ab34df9,0,expected_sarsa,recoverable,0.79,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9d471ab34df9,0,expected_sarsa,recoverable,0.79,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9d471ab34df9,0,expected_sarsa,recoverable,0.79,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9fd2fab535ee,0,expected_sarsa,recoverable,0.85,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-9fd2fab535ee,0,expected_sarsa,recoverable,0.85,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9fd2fab535ee,0,expected_sarsa,recoverable,0.85,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-9fd2fab535ee,0,expected_sarsa,recoverable,0.85,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-a025880180f4,0,expected_sarsa,recoverable,0.8,0.25,25000,25000,0,other,3,0
recoverable_risky_corridor-expected_sarsa-s0-a025880180f4,0,expected_sarsa,recoverable,0.8,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-a025880180f4,0,expected_sarsa,recoverable,0.8,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-a025880180f4,0,expected_sarsa,recoverable,0.8,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-e2c83302ba54,0,expected_sarsa,recoverable,0.805,0.25,25000,25000,0,other,0,0
recoverable_risky_corridor-expected_sarsa-s0-e2c83302ba54,0,expected_sarsa,recoverable,0.805,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-e2c83302ba54,0,expected_sarsa,recoverable,0.805,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-e2c83302ba54,0,expected_sarsa,recoverable,0.805,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-ee4825fbb619,0,expected_sarsa,recoverable,0.88,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-ee4825fbb619,0,expected_sarsa,recoverable,0.88,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-ee4825fbb619,0,expected_sarsa,recoverable,0.88,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s0-ee4825fbb619,0,expected_sarsa,recoverable,0.88,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-f87bb167fd6f,0,expected_sarsa,recoverable,0.9,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-f87bb167fd6f,0,expected_sarsa,recoverable,0.9,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-f87bb167fd6f,0,expected_sarsa,recoverable,0.9,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s0-f87bb167fd6f,0,expected_sarsa,recoverable,0.9,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-0adcaff12266,1,expected_sarsa,recoverable,0.86,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-0adcaff12266,1,expected_sarsa,recoverable,0.86,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-0adcaff12266,1,expected_sarsa,recoverable,0.86,0.75,75000,75000,0,shelter,2,0
